2025-11-17T11:33:19.761845054Z [err]  2025-11-17 11:33:14.846 UTC [76] LOG:  checkpoint starting: time
2025-11-17T11:33:19.761857653Z [err]  2025-11-17 11:33:15.971 UTC [76] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.106 s, sync=0.004 s, total=1.126 s; sync files=12, longest=0.004 s, average=0.001 s; distance=6 kB, estimate=64 kB; lsn=0/19D6C18, redo lsn=0/19D6BC0
2025-11-17T11:33:21.498172263Z [inf]  💾 Loaded caller context - Session 1
2025-11-17T11:33:21.498182286Z [inf]  📨 Deepgram message: {"type":"History","role":"assistant","content":"Hello! How can I help you today?"}
2025-11-17T11:33:21.498193204Z [inf]  📨 Deepgram message: {"type":"AgentAudioDone"}
2025-11-17T11:33:21.498199383Z [inf]  🔊 sts_receiver started
2025-11-17T11:33:21.498201285Z [inf]  🔍 DEBUG: Caller data keys: ['caller', 'session_id', 'session_number', 'context']
2025-11-17T11:33:21.498206099Z [inf]  📨 Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-17T11:33:21.498215422Z [inf]  🔍 DEBUG: Context keys: ['recent_sessions', 'older_summaries']
2025-11-17T11:33:21.498215569Z [inf]  🌊 Got stream ID: MZd1c3775521e470c8ba8695074cca63c8
2025-11-17T11:33:21.498229697Z [inf]  🔍 DEBUG: No previous sessions found
2025-11-17T11:33:21.498234540Z [inf]  📨 Deepgram message: {"type":"Welcome","request_id":"084aa113-008c-4835-98bd-30ee5004aa6f"}
2025-11-17T11:33:21.498245870Z [inf]  ⚙️ Configuration sent to Deepgram with actual caller context
2025-11-17T11:33:21.498248804Z [inf]  📨 Deepgram message: {"type":"SettingsApplied"}
2025-11-17T11:33:21.498260007Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"assistant","content":"Hello! How can I help you today?"}
2025-11-17T11:33:21.498261630Z [inf]  🎤 sts_sender started
2025-11-17T11:33:21.498268846Z [inf]  💬 Stored message: ai - Hello! How can I help you today?...
2025-11-17T11:33:21.498479502Z [inf]  🌐 Request: POST /webhook/voice from 100.64.0.5
2025-11-17T11:33:21.498483665Z [inf]  🎯 Voice webhook: Call from +61412247247, CallSid: CA7d1e851e59d23d1ebbcfa4ec04de5ed2
2025-11-17T11:33:21.498488222Z [inf]  🔗 Connecting to WebSocket: wss://voice-bridge-backend-production.up.railway.app/twilio
2025-11-17T11:33:21.498492379Z [inf]  ✅ Response: POST /webhook/voice -> 200
2025-11-17T11:33:21.498498749Z [inf]  🌐 Request: GET /twilio from 100.64.0.6
2025-11-17T11:33:21.498503581Z [inf]  🔍 WEBSOCKET DEBUG: Incoming connection from 100.64.0.6
2025-11-17T11:33:21.498508088Z [inf]  🔍 Headers: {'Host': 'voice-bridge-backend-production.up.railway.app', 'User-Agent': 'Twilio.TmeWs/1.0', 'Connection': 'Upgrade', 'Sec-WebSocket-Key': 'BUQWicwv4PP2fTBgDnj5Tw==', 'Sec-WebSocket-Version': '13', 'Upgrade': 'websocket', 'X-Forwarded-For': '13.222.204.45', 'X-Forwarded-Host': 'voice-bridge-backend-production.up.railway.app', 'X-Forwarded-Proto': 'https', 'X-Railway-Edge': 'railway/us-east4-eqdc4a', 'X-Railway-Request-Id': 'BONO2dUzRPWy4sVvBT7zVQ', 'X-Real-Ip': '13.222.204.45', 'X-Request-Start': '1763379193892', 'X-Twilio-Signature': 'rXvPEkPetd5bm3+VAXLMlRWqRvM=', 'Accept-Encoding': 'gzip'}
2025-11-17T11:33:21.498512337Z [inf]  🔍 Query params: {}
2025-11-17T11:33:21.498516757Z [inf]  📞 WebSocket connection established on path: /twilio
2025-11-17T11:33:21.498523635Z [inf]  📱 twilio_receiver started
2025-11-17T11:33:21.498528366Z [inf]  ✅ Twilio connected
2025-11-17T11:33:21.498532948Z [inf]  🚀 Received Twilio start event
2025-11-17T11:33:21.498536891Z [inf]  📱 Updated caller info from parameters: +61412247247
2025-11-17T11:33:21.498540641Z [inf]  🔗 Stream ID: MZd1c3775521e470c8ba8695074cca63c8
2025-11-17T11:33:21.498545030Z [inf]  ☎️ Actual Call SID: CA7d1e851e59d23d1ebbcfa4ec04de5ed2
2025-11-17T11:33:21.498549654Z [inf]  🔍 DEBUG: Loading context for +61412247247
2025-11-17T11:33:22.538704188Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"user","content":"I was just seeing pictures of my family that I'm"}
2025-11-17T11:33:22.545904569Z [inf]  💬 Stored message: user - I was just seeing pictures of my family that I'm...
2025-11-17T11:33:22.545912968Z [inf]  📨 Deepgram message: {"type":"History","role":"user","content":"I was just seeing pictures of my family that I'm"}
2025-11-17T11:33:23.430027050Z [inf]  📨 Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-17T11:33:25.557309765Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"user","content":"don't get to see anymore, and it was a bit hard."}
2025-11-17T11:33:25.557317080Z [inf]  💬 Stored message: user - don't get to see anymore, and it was a bit hard....
2025-11-17T11:33:25.557324176Z [inf]  📨 Deepgram message: {"type":"History","role":"user","content":"don't get to see anymore, and it was a bit hard."}
2025-11-17T11:33:26.479552145Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"assistant","content":"I’m sorry to hear that."}
2025-11-17T11:33:26.479561025Z [inf]  💬 Stored message: ai - I’m sorry to hear that....
2025-11-17T11:33:26.479568642Z [inf]  📨 Deepgram message: {"type":"History","role":"assistant","content":"I’m sorry to hear that."}
2025-11-17T11:33:27.532804146Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"assistant","content":"Do you have a favorite memory with them that you like to think back on?"}
2025-11-17T11:33:27.535948121Z [inf]  💬 Stored message: ai - Do you have a favorite memory with them that you l...
2025-11-17T11:33:27.535957456Z [inf]  📨 Deepgram message: {"type":"History","role":"assistant","content":"Do you have a favorite memory with them that you like to think back on?"}
2025-11-17T11:33:28.638469501Z [inf]  📨 Deepgram message: {"type":"AgentAudioDone"}
2025-11-17T11:33:35.610893150Z [inf]  📨 Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-17T11:33:38.484572560Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"user","content":"No. There's been so many. I'll try not to think back because it just"}
2025-11-17T11:33:38.484577872Z [inf]  💬 Stored message: user - No. There's been so many. I'll try not to think ba...
2025-11-17T11:33:38.484583199Z [inf]  📨 Deepgram message: {"type":"History","role":"user","content":"No. There's been so many. I'll try not to think back because it just"}
2025-11-17T11:33:38.932358332Z [inf]  📨 Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-17T11:33:40.618184930Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"user","content":"reminds me of what I've lost."}
2025-11-17T11:33:40.618188853Z [inf]  💬 Stored message: user - reminds me of what I've lost....
2025-11-17T11:33:40.618193306Z [inf]  📨 Deepgram message: {"type":"History","role":"user","content":"reminds me of what I've lost."}
2025-11-17T11:33:40.844167886Z [inf]  📨 Deepgram message: {"type":"ConversationText","role":"assistant","content":"That makes sense."}
2025-11-17T11:33:40.847594859Z [inf]  💬 Stored message: ai - That makes sense....
