2025-11-16T07:07:13.000000000Z [inf]  Starting Container
2025-11-16T07:07:14.895055546Z [inf]  Starting Twilio-Deepgram Bridge Server on port 5000
2025-11-16T07:07:14.895060193Z [inf]  Health check endpoint: http://0.0.0.0:5000/health
2025-11-16T07:07:14.895064866Z [inf]  WebSocket endpoint: ws://0.0.0.0:5000/twilio
2025-11-16T07:07:14.895069571Z [inf]  DEEPGRAM_API_KEY found in environment
2025-11-16T07:07:14.895074032Z [inf]  Server running on 0.0.0.0:5000
2025-11-16T07:07:14.895078535Z [inf]  Server is ready to accept connections
2025-11-16T07:07:14.895082860Z [inf]  Request: GET /health from 100.64.0.2
2025-11-16T07:07:14.895087397Z [inf]  Response: GET /health -> 200
2025-11-16T07:07:19.000000000Z [inf]  Stopping Container
2025-11-16T07:07:23.277595636Z [inf]  Received signal 15 from Railway
2025-11-16T07:07:23.277606576Z [inf]  Railway sent SIGTERM - but health checks are passing!
2025-11-16T07:07:23.277613577Z [inf]  Ignoring SIGTERM to keep server running (Railway may be testing)
2025-11-16T07:09:11.872269602Z [inf]  Request: GET /health from 100.64.0.3
2025-11-16T07:09:11.872274812Z [inf]  Response: GET /health -> 200
2025-11-16T07:09:11.872283554Z [inf]  Request: GET /favicon.ico from 100.64.0.3
2025-11-16T07:09:11.872289022Z [inf]  Error handling GET /favicon.ico: Not Found
2025-11-16T07:09:41.890808604Z [inf]  Request: GET /twilio from 100.64.0.4
2025-11-16T07:09:41.890820364Z [inf]  WebSocket connection established on path: /twilio
2025-11-16T07:09:41.890829629Z [inf]  Configuration sent to Deepgram
2025-11-16T07:09:41.890830987Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"Hello! How can I help you today?"}
2025-11-16T07:09:41.890836978Z [inf]  sts_sender started
2025-11-16T07:09:41.890845821Z [inf]  sts_receiver started
2025-11-16T07:09:41.890848804Z [inf]  Deepgram message: {"type":"AgentAudioDone"}
2025-11-16T07:09:41.890852518Z [inf]  twilio_receiver started
2025-11-16T07:09:41.890860102Z [inf]  Twilio connected
2025-11-16T07:09:41.890862750Z [inf]  Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-16T07:09:41.890869649Z [inf]  Received Twilio start event
2025-11-16T07:09:41.890875145Z [inf]  Deepgram message: {"type":"ConversationText","role":"user","content":"Hi. Good day. I just, uh, trying to recover and get some rest."}
2025-11-16T07:09:41.890878823Z [inf]  Got stream ID: MZ50537d3458e8869035b72e52bcd5f490
2025-11-16T07:09:41.890888885Z [inf]  Deepgram message: {"type":"History","role":"user","content":"Hi. Good day. I just, uh, trying to recover and get some rest."}
2025-11-16T07:09:41.890892720Z [inf]  Deepgram message: {"type":"Welcome","request_id":"78cef960-3567-4bbd-ad7a-1ee42963b9e7"}
2025-11-16T07:09:41.890898259Z [inf]  Deepgram message: {"type":"SettingsApplied"}
2025-11-16T07:09:41.890902966Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"Hello! How can I help you today?"}
2025-11-16T07:09:42.415024014Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"Good day!"}
2025-11-16T07:09:42.415028988Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"Good day!"}
2025-11-16T07:09:43.221624338Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"It sounds like you might be going through a tough time."}
2025-11-16T07:09:43.221631004Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"It sounds like you might be going through a tough time."}
2025-11-16T07:09:45.848379664Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"It’s important to take care of yourself and get the rest you need."}
2025-11-16T07:09:45.848385457Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"It’s important to take care of yourself and get the rest you need."}
2025-11-16T07:09:50.982380371Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"Is there anything specific you’d like to talk about or any way I can assist you today?"}
2025-11-16T07:09:50.982385377Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"Is there anything specific you’d like to talk about or any way I can assist you today?"}
2025-11-16T07:09:50.982390433Z [inf]  Deepgram message: {"type":"AgentAudioDone"}
2025-11-16T07:09:58.220989937Z [inf]  Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-16T07:09:58.357154456Z [inf]  Deepgram message: {"type":"ConversationText","role":"user","content":"Yeah."}
2025-11-16T07:09:58.357161379Z [inf]  Deepgram message: {"type":"History","role":"user","content":"Yeah."}
2025-11-16T07:09:59.400925734Z [inf]  Deepgram message: {"type":"UserStartedSpeaking"}
2025-11-16T07:10:04.771234402Z [inf]  Deepgram message: {"type":"ConversationText","role":"user","content":"Just after watching the movie, The Matrix, I'm wondering whether all these things we do every day are even worth it."}
2025-11-16T07:10:04.771240750Z [inf]  Deepgram message: {"type":"History","role":"user","content":"Just after watching the movie, The Matrix, I'm wondering whether all these things we do every day are even worth it."}
2025-11-16T07:10:05.883930477Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"It's understandable to feel that way after a thought-provoking movie like ."}
2025-11-16T07:10:05.883936311Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"It's understandable to feel that way after a thought-provoking movie like ."}
2025-11-16T07:10:10.675297434Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"The film raises questions about reality, choice, and the nature of existence, which can lead to some deep reflections on our daily lives and routines."}
2025-11-16T07:10:10.675304012Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"The film raises questions about reality, choice, and the nature of existence, which can lead to some deep reflections on our daily lives and routines."}
2025-11-16T07:10:16.940490611Z [inf]  Twilio stop event
2025-11-16T07:10:19.698431516Z [inf]  Deepgram message: {"type":"ConversationText","role":"assistant","content":"It's not uncommon to question the meaning and purpose of our actions."}
2025-11-16T07:10:19.698436048Z [inf]  Deepgram message: {"type":"History","role":"assistant","content":"It's not uncommon to question the meaning and purpose of our actions."}
2025-11-16T07:10:19.698442228Z [inf]  Error in sts_receiver: Cannot write to closing transport
